C,SF,S,QP,W,SP,F,WB,T,CT,SPB,FT,FL,FD,ST,A,CS
960.0,240.0,740.7,0.0,234.0,45.0,156.0,0.2,23,1,1,1,13.0,0.2,1,28,162.8
784.0,261.0,1045.0,0.0,171.0,20.9,23.52,0.16,23,1,1,6,13.0,0.2,1,90,162.6
998.8,176.25,1013.9,0.0,164.5,49.4,0.0,0.14,23,1,1,0,0.0,0.0,1,28,162.2
853.0,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,23,1,1,6,8.0,0.2,1,14,162.1
998.8,176.25,975.0,0.0,141.0,78.7,9.988,0.12,23,1,1,5,13.0,0.018,1,14,162.0
900.0,220.0,1005.0,0.0,163.0,40.0,156.0,0.15,23,1,1,1,13.0,0.2,1,56,161.6
792.0,264.0,1056.0,0.0,173.0,21.1,156.0,0.16,20,1,1,1,13.0,0.2,1,90,161.47
960.0,240.0,791.3,0.0,234.0,45.0,2.4,0.2,23,1,1,5,13.0,0.018,1,28,161.1
960.0,240.0,786.4,0.0,234.0,45.0,19.5,0.2,23,1,1,1,13.0,0.2,1,56,160.9
960.0,240.0,754.0,0.0,234.0,45.0,117.0,0.2,23,1,1,1,13.0,0.2,1,28,160.6
1076.77,286.23,1090.8,0.0,272.6,46.2,0.0,0.2,23,1,1,0,0.0,0.0,1,28,160.6
936.0,140.4,1170.0,0.0,224.64,28.08,11.232,0.21,23,1,1,3,12.0,0.038,1,28,160.5
1116.7,390.85,625.35,0.0,212.17,23.45,0.0,0.14,23,1,1,0,0.0,0.0,1,28,160.5
1116.7,390.85,625.35,0.0,212.17,23.45,22.334,0.14,23,1,1,6,13.0,0.2,1,21,160.3
960.0,240.0,706.2,0.0,234.0,57.0,156.0,0.2,23,1,1,1,13.0,0.2,1,28,160.1
630.0,70.0,1788.0,0.0,126.0,18.0,0.0,0.18,20,1,1,0,0.0,0.0,1,90,160.0
853.0,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,23,1,1,6,16.0,0.2,1,14,160.0
1009.0,0.0,1456.8,0.0,201.8,34.2,0.0,0.2,23,1,1,0,0.0,0.0,1,90,160.0
1000.0,250.0,1000.0,0.0,200.0,50.0,10.0,0.16,23,1,1,4,12.0,0.018,1,28,159.6
